0:50 | Derrick Lau: why are you so late? 
0:50 | Oliver Leigh Nielsen: keep going bruv 
0:51 | Abin Bajracharya: 
0:51 | craigyo2: WE LOVE YOU GROSSIE!
0:52 | Connor: 
0:52 | (New member) Marius Cristian: 
0:52 | Harox: POG SUP SUP
0:54 | Tevrat Ça: love from turkey
0:54 | vlegerrr: HELLOO GROSSIE 
0:54 | GingeLive: GROSSIE XXXXXXX
0:55 | DesireLoL: WELCOME 
0:57 | ReactantJordan: Hi ali 
0:57 | Dont4Get2Eat: ALI YES LAD YES, I THOUGHT YOU BAITED US
0:57 | (New member) dannyule: <-- dan_yule from Twitch
0:57 | Laszlo De Maeyer: WHASSUP BOI
0:58 | Derrick Lau: WHY ARE YOU SO LATE 
0:58 | Abin Bajracharya: grossgore love you
1:00 | Endyium2310: Live Pog
1:01 | Cravenn: @Gross Gore - Ali Larsen i love you so much man i will always be here even if i m not writing in chat constantly
1:01 | PredChaos: 
1:01 | Jaideep Gill: WHATS UP GROSSIE GLAD TO SEE YOU AGAIN
1:01 | HeyItsCitizen: 
1:02 | lel walrus: HI GROSSIE 
1:03 | VxT: Hello
1:03 | Tevrat Ça: LOVE FROM TURKEY
1:03 | XVG TriangleMan: Hey hey
1:04 | Penguin Paladin: @Gross Gore - Ali Larsen Good afternoon Ali good luck in games today
1:04 | SirBludro: HEY GORE
1:06 | DesireLoL: 
1:06 | Sohail316: yay live
1:06 | Wagman: hey gross
1:06 | Panalis: WE BACK BABY 
1:06 | (New member) Hates: MERCH
1:06 | Ross Denoon: real
1:07 | Ob1star: KEKW
1:08 | Il-Hess: GOOD LUCKK GROSSIE!!
1:08 | Sofia H: Pog GROSSIE
1:09 | Envyiouz: hi friendoooo
1:09 | Harox: BOOBA
1:09 | (New member) Marius Cristian: YEP
1:10 | Alex A: hes.not.mucking.around
1:10 | Max: hey grossie 
1:10 | ViolettSchafLP: xDD
1:10 | Spac3: ITS ONLY BEEN A DAY BUT MISSED YOU
1:10 | Tom Svensson: He is unstoppable, not mucking around
1:10 | WhereDragons Dwell: did you removed your twtch chanel?
